序號,資料產製時間,常用搜尋關鍵字,網址,Y座標(WGS84),X座標(WGS84),開放時間,開車及搭乘大眾運輸文字描述,三碼郵遞區號,景點(或景區)地址,景點(或景區)服務電話(國碼-區碼-電話號碼),Description景點(或景區)特色精簡版文字簡述,景點(或景區)特色詳細文字簡述,景點(或景區)中文名稱,FB ID
310,2016/08/18 18:21:08,新店,http://163.20.79.133/default_page.asp,24.92254,121.54621,1.學校免費開放設施:籃球場一座、操場一座 2.開放時間: 平常上班日開放時間：06：00~07:50；15:50~18:00 例假日開放時間：06:00~17:00 寒暑假開放時間：06:00~17:00,【大眾運輸】　1.搭乘849公車於屈尺站下車，步行即可到達。　　【自行開車】　1.沿國道1號和國道3號前往臺北的環河路。從國道3號的 31-安坑 號出口下交流道，走新北橫公路/台9甲線前往屈尺路，即抵達。,231,新北市新店區屈尺路55號,886-2-26667490,民國11年成立新店公學校屈尺分教場，16年獨立為屈尺公學校，39年於新店溪左岸增設廣興分班，43年改為廣興分校，是新店地區唯一的雙校園小學。兩岸校區風景優美，自然環境與物種豐富，是具在地文化特色的遊學中心。,民國11年成立新店公學校屈尺分教場，16年獨立為屈尺公學校，39年於新店溪左岸增設廣興分班，43年改為廣興分校，是新店地區唯一的雙校園小學。兩岸校區風景優美，自然環境與物種豐富，是具在地文化特色的遊學中心。,屈尺國小,294816677312032 
311,2016/03/29 14:56:01,五股,,25.05549,121.48361,全天開放,【大眾運輸】　捷運三重站下車120公尺即達。,241,新北市三重區疏洪16路,886-2-29862345,公園內溪流從中流竄，營造出親水的空間，及不同的花卉呈現出不同的風情。幸福甜蜜、色彩豐富的裝置藝術，如果天氣好的話，藍天白雲加上綠地，非常適合拍照。晚上的時候有城市的燈光點綴氣氛更迷人。,公園內溪流從中流竄，營造出親水的空間，及不同的花卉呈現出不同的風情。幸福甜蜜、色彩豐富的裝置藝術，如果天氣好的話，藍天白雲加上綠地，非常適合拍照。晚上的時候有城市的燈光點綴氣氛更迷人。,幸福水漾公園,128579033881374 
312,2016/04/29 15:14:51,淡水,,25.23579,121.47378,"開放參觀,但需預約",【大眾運輸】　1.搭乘捷運至淡水站，轉搭開往三芝中和里方向的F105淡水客運，於李厝口站下車，步行即可抵達。　　【自行開車】　1.臺北承德路接大度路，北行過淡水進入淡金公路，過賢孝派出所第一個7-11右轉，指標往中和里走1.8公里即抵。,251,新北市淡水區屯山里番社前11號,886-2-28015059,大屯溪自然教育農莊是一個以自然農法耕種的農場，園區採行的自然農法，是嚴格遵照日本岡田茂吉先生所教導，以「尊重自然、順應自然」的目標，利用自然生 態系循環之原理，兼顧農產品收穫及環境保護的農法。無農藥、無肥料，除了枯草、落葉製作之草葉堆肥以外，不加入任何不純物質，讓土壤能發揮原本的力量。,大屯溪自然農法教育農莊是一個以自然農法耕種的農場，園區採行的自然農法，是嚴格遵照日本岡田茂吉先生所教導，以「尊重自然、順應自然」的目標，利用自然生 態系循環之原理，兼顧農產品收穫及環境保護的農法。無農藥、無肥料，除了枯草、落葉製作之草葉堆肥以外，不加入任何不純物質，讓土壤能發揮原本的力量。為了讓孩子們有更多接近大自然的機會，並給孩子正確的自然保育觀念，園區提供一系列的體驗活動，包括：自然農法體驗營（插秧、割稻、種菜、採蔬菜等）、 藝術體驗營（木工DIY、草編、葉拓印、藝術風鈴等）、生態體驗營（河川生態工法、動植物生態等）等，園區也可依照學校或團體要求設計專屬的課程。,幸福農莊(原大屯溪自然農法教育農莊),337937306270257 
313,2016/09/26 17:57:02,,http://www.fuzhong15.ntpc.gov.tw/,25.00938,121.45961,早上9:00～下午6：00（每月第一個星期一休館）,【大眾運輸】　1.搭乘捷運板南線至府中站2號出口，出站後向右後方步行40公尺即到達。　2.公車51、99、264、307、310、701、702、786、793、806、810、843、848、857、910、920、930、932、940、948、982區、F501、F502，搭至「捷運府中站(府中路)」下車即到達。　　【自行開車】　1.國道一號：由五股交,220,新北市板橋區府中路15號,886-2-29683600,府中15的6F為活動教室，主要會配合動畫影音主題打造工作坊，讓孩子可以學習、體驗並分享成果（也開放各界團體申請使用）。8F為影音閱讀館，如果想要做相關研究，或者認識各國知名動畫、紀錄片、影音創作的影像及圖書資料，來這裡準沒錯！,這裡總共有九個樓層，B1為專門播放紀錄片的放映室，喜歡紀錄片的朋友，可以在此看到各種主題相關的精華影片。1F的典藏咖啡館，提供您沉思與休憩；而2F—5F就是動畫主題相關的展覽室。不論是視覺暫留原理的運用、或者3D眼鏡掛上去後為什麼會出現立體？都可以讓孩子們除了看卡通、玩電動外，更深入瞭解那些「會動的影像」背後的產製過程，體會「整套的」動畫美學。府中15的6F為活動教室，主要會配合動畫影音主題打造工作坊，讓孩子可以學習、體驗並分享成果（也開放各界團體申請使用）。8F為影音閱讀館，如果想要做相關研究，或者認識各國知名動畫、紀錄片、影音創作的影像及圖書資料，來這裡準沒錯！,府中動畫故事館,Fzfifteen
314,2016/06/15 16:10:10,汐止,http://zhongshun.tw/01_01.html,25.06847,121.65896,06:00~18:00 (辦公時間:08:00~17:00),【大眾運輸】　1.搭乘火車至汐止火車站下車，步行即可到達　　【自行開車】　1.國道一號至汐止交流道出口下，朝北29鄉道前進，續接中正路至公園路即可到達,221,新北市汐止區義民里11鄰公園路10號,"886-2-26416900,886-2-86423610",中日甲午戰爭後，清廷被迫割讓臺灣。一八九五年，能久親王率領近衛師團二十艘艦隊抵臺，五月二十九日自澳底(鹽寮)登陸。當時的水返腳，就位於日軍前進路線的中繼點，能久親王曾駐紮於汐止忠順廟之遺址（當年為蘇家房舍）。後來，日本政府明訂能久親王曾駐蹕之汐止住所為「遺跡所」，號為「能久宮」。,中日甲午戰爭後，清廷被迫割讓臺灣。一八九五年，能久親王率領近衛師團二十艘艦隊抵臺，五月二十九日自澳底(鹽寮)登陸。當時的水返腳，就位於日軍前進路線的中繼點，能久親王曾駐紮於汐止忠順廟之遺址（當年為蘇家房舍）。 後來，日本政府明訂能久親王曾駐蹕之汐止住所為「遺跡所」，號為「能久宮」。臺灣光復後，能久宮改名「忠順廟」，神社的遺址遭拆毀，改建成中國風格的廟宇，但是在廟宇的周遭仍然能夠看得出當年神社遺跡在這裡會明顯感覺到此地帶有的歷史意義，中國與日本宗教風格的建築物相互交雜，日式的石燈座上還有日本天皇紀元及昭和年號的石刻，忠順廟內則供奉保儀大夫，廟內東西壁各題「忠」、「孝」兩大字，兩種迥然不同的風格混搭卻又不顯突兀，營造出更特殊的氛圍。,忠順廟,206311306095864 
315,2016/05/13 16:52:09,"捷運,蘆洲線,捷運蘆洲站,蘆洲",,25.08137,121.46111,06:00-22:00,【大眾運輸】　1.搭乘捷運至蘆洲站下車，轉乘14、232、811路線公車至忠義廟口下車　　【自行開車】　1.由淡水八里走台64線→從台64線的 11-五股二 號出口下交流道→走108縣道/永安大橋出口→靠左行駛，進入中原路→於長安街向右轉→抵達忠義廟,247,新北市蘆洲區忠義里長安街106號,886-2-22887979,忠義廟現位於長安街106號，在灰?重劃區當中。忠義廟主祀池府王爺，正殿右側供奉池王妃及福德正神，左側供奉天上聖母及文昌帝君。忠義廟本位在洲後村（洲仔尾），為五股洲後村村民的信仰中心，忠義廟池府王爺乃百餘年前由蘆洲保佑宮分靈而來，初期由信徒爐主輪流管理，有求必應；日明治42年（1909）由地方仕紳陳西領提議集資建廟，民國15年被颱風損壞，重建之後，命名為「忠義廟」，以彰顯池府王爺「忠君愛國，義氣佑民」之意。,忠義廟現位於長安街106號，在灰?重劃區當中。忠義廟主祀池府王爺，正殿右側供奉池王妃及福德正神，左側供奉天上聖母及文昌帝君。忠義廟本位在洲後村（洲仔尾），為五股洲後村村民的信仰中心，忠義廟池府王爺乃百餘年前由蘆洲保佑宮分靈而來，初期由信徒爐主輪流管理，有求必應；日明治42年（1909）由地方仕紳陳西領提議集資建廟，民國15年被颱風損壞，重建之後，命名為「忠義廟」，以彰顯池府王爺「忠君愛國，義氣佑民」之意。,忠義廟,202321269801700 
316,2016/03/29 09:41:07,"深坑,歷史古蹟",,25.00122,121.61271,全日開放,【大眾運輸】　1.於捷運木柵站轉乘指南客運660號公車、欣欣客運666、819號公車、指南客運679號公車、臺北客運795號公車，均可達深坑。　2.於捷運新店站轉乘指南客運660號公車，可達深坑。　3.於捷運景美站轉乘指南客運660號公車、欣欣客運666號公車，可達深坑。　4.於捷運七張站轉乘欣欣客運819號公車，可達深坑。　　【自行開車】　1.北二高：木柵,222,新北市深坑區深坑街,886-2-26623116,從深坑老街街尾，隔106 號道路往前面望，可以看到一小山頭，拾級而上，往高壓電鐵塔右側循路前行，可以看到高約三公尺的石碑，就是忠魂碑遺址，是日本人紀念當年被抗日義軍所殺之日警而立之碑。現已被水泥封住，從前所刻之碑文也遭人為破壞而不復在。光復紀念碑(忠魂碑)是由石板及粗糙的岩石構成，基座是矩形，高度大約兩百多公分，其規模大約需要四個人合抱。碑的立面分為四段，材質為岩石做磚砌狀斜上收分之後，接著中段是由另一個較小的矩形體，分為石板及較粗糙岩石的材質兩部分構成，上段也是用岩石材質建成，但是質地較為細緻，而且有許多線腳裝飾。由於紀念碑的構造並非平凡無奇的長型四方體，再加上富有歷史的神聖意義，更增添了此碑的風情。紀念碑附近旅遊景點有母子恐龍湖之稱的天然湖，其他特殊景點還有蝙蝠洞、石板屋遺跡、迷石林。,從深坑老街街尾，隔106 號道路往前面望，可以看到一小山頭，拾級而上，往高壓電鐵塔右側循路前行，可以看到高約三公尺的石碑，就是忠魂碑遺址，是日本人紀念當年被抗日義軍所殺之日警而立之碑。現已被水泥封住，從前所刻之碑文也遭人為破壞而不復在。 光復紀念碑(忠魂碑)是由石板及粗糙的岩石構成，基座是矩形，高度大約兩百多公分，其規模大約需要四個人合抱。碑的立面分為四段，材質為岩石做磚砌狀斜上收分之後，接著中段是由另一個較小的矩形體，分為石板及較粗糙岩石的材質兩部分構成，上段也是用岩石材質建成，但是質地較為細緻，而且有許多線腳裝飾。由於紀念碑的構造並非平凡無奇的長型四方體，再加上富有歷史的神聖意義，更增添了此碑的風情。紀念碑附近旅遊景點有母子恐龍湖之稱的天然湖，其他特殊景點還有蝙蝠洞、石板屋遺跡、迷石林。,忠魂碑,
317,2016/04/29 19:02:45,"淡水,歷史古蹟",,25.17746,121.46523,未提供,【大眾運輸】　1.搭乘捷運至淡水站下車，轉乘866、875、876、877公車至水源國小站下車步行可達。　　【自行開車】　1.由登輝大道轉北新路經水源國小左轉即可到達。,251,新北市淡水區忠寮里竹圍仔8號,886-2-29603456,「燕樓」是淡水忠寮里李厝宗族的堂號，李家（燕樓）宗廟位在於北方忠寮淡水水源地上，李厝為淡水地區較大的姓氏聚落；目前仍存有許多棟古厝，包含有桂花樹3號、桂花樹4號、5號、竹圍仔8號、竹圍仔10號等五棟，在當時為一梯田莊園之景象。其中又以進入忠寮李厝第一眼看到的忠寮竹圍仔8號宅，又稱「旗杆厝」較為精美。燕樓宗廟目前仍保有多位匠師精湛的作品，可說是淡水地區珍貴的文化資產。,「燕樓」是淡水忠寮里李厝宗族的堂號，李家（燕樓）宗廟位在於北方忠寮淡水水源地上，李厝為淡水地區較大的姓氏聚落；目前仍存有許多棟古厝，包含有桂花樹3號、桂花樹4號、5號、竹圍仔8號、竹圍仔10號等五棟，在當時為一梯田莊園之景象。其中又以進入忠寮李厝第一眼看到的忠寮竹圍仔8號宅，又稱「旗杆厝」較為精美。燕樓宗廟目前仍保有多位匠師精湛的作品，可說是淡水地區珍貴的文化資產。忠寮位於淡水北邊山區，沒有大型平地，且梯田地形不適合興建大型合院宅第，而山居獨立之宅第為求自保，均會找尋易守難攻的地勢，並配置多重防禦措施，以確保家族的身家安全，萬一各房親族遇有土匪侵犯時，便可以採取分進合擊方式，殲滅盜賊。從忠寮李氏宗族所形成的古厝聚落配置與深坑地區黃氏宗族－「永安居」、「福安居」、「興順居」的散居思維是相同的。,忠寮李氏古厝,383995038363763 
318,2015/11/24 15:08:58,"捷運,板南線,捷運永寧站,土城",,24.95037,121.44671,夏季時間：AM3：00～18：30 冬季時間：AM3：30～18：00,【大眾運輸】　1.藍43（三峽→捷運永寧站）→於承天路方向(2號出口)→再步行上山約40～60分鐘，即可到達承天禪寺。　2.藍44（樹林→捷運永寧站）→於承天路方向(2號出口)→再步行上山約40～60分鐘，即可到達承天禪寺。　3.藍45（成福→捷運永寧站）→於承天路方向(2號出口)→再步行上山約40～60分鐘，即可到達承天禪寺。　4.藍46（二鬮→捷運永寧站,236,新北市土城區承天路96號,886-2-22671789,承天禪寺於1975年重建，從大安寮至山門，沿途步道兩側綠意盎然，翠林掩映，裊裊禪聲頌音傳繞，整體環境素樸莊嚴、清幽雅靜。禪寺依山而建，綠瓦白牆深藏在群山青翠的懷抱中，占地相當廣大，是北臺灣著名的佛教勝地，林相極為幽靜，有時還可以看到信眾沿途三跪九叩，更讓人多了幾分崇敬。到了山上，除了可以參拜雄偉的大雄寶殿，從這裡往山下望去，淡水河盆地的青山細水可以一覽無遺，令人心懷大暢，俗念全消。,承天禪寺位於新北市土城區承天路上，於西元1955年由廣欽法師創建。法師在1948年來到臺灣，先在日月洞潛修，後再搬遷至此開山闢寺，因年幼時曾皈依福建省晉江名剎「承天禪寺」，故因之名寺，以誌師恩；承天禪寺於1975年重建，從大安寮至山門，沿途步道兩側綠意盎然，翠林掩映，裊裊禪聲頌音傳繞，整體環境素樸莊嚴、清幽雅靜。禪寺依山而建，綠瓦白牆深藏在群山青翠的懷抱中，占地相當廣大，是北臺灣著名的佛教勝地，林相極為幽靜，有時還可以看到信眾沿途三跪九叩，更讓人多了幾分崇敬。到了山上，除了可以參拜雄偉的大雄寶殿，從這裡往山下望去，淡水河盆地的青山細水可以一覽無遺，令人心懷大暢，俗念全消。,承天禪寺,193767367300999 
319,2016/09/14 17:16:32,,,25.00219,121.49861,週一至週五AM08:30~PM17:30,【大眾運輸】　1.搭乘公車57、241、243、275、275副、706、793、796、950、內科通勤2、內科通勤3、南軟通勤雙和線至中和農會站下車步行可達。　　【自行開車】　在中和交流道(中和秀朗橋/連城路)出口下交流道，朝中正路前進→於連城路/北88鄉道向右轉→於景平路/106縣道向左轉→於中山路二段向右轉→抵達目的地。,235,新北市中和區連城路32號,886-2-22439748,本店結合所有原住民文化元素以及創意、流行與時尚，希望透過網路讓更多人了解我們的商品，我們也有實體店面，在這一定可以讓你挑選到你想要的商品，歡迎大家上網訂購或是來店參觀選購。,拉格斯期許自己為文化札下深厚的根，散發出去的文化因子，也讓他人更了解原住民文化的美麗。 「rakes」在原住民語中，意為「樟樹」。樟樹是臺灣原生種植物，樹幹有著深裂的褐色紋路，樹根能向下札得很深，不僅基盤穩固，亦散發出宜人清香。 期許為文化札下深厚的根，散發出去的文化因子，也讓他人更了解原住民文化的美麗。rakes的商標設計，靈感來自於舊式捲線的梭子，雙尖的形狀，及紅黑的色系，鮮明而獨立。 本店結合所有原住民文化元素以及創意、流行與時尚，希望透過網路讓更多人了解我們的商品，我們也有實體店面，在這一定可以讓你挑選到你想要的商品，歡迎大家上網訂購或是來店參觀選購。,拉格斯藝文工作坊,160481547474252 
320,2016/08/23 08:55:16,瑞芳,,25.10907,121.84363,週一至週四：09:30-17:30，週五、六：09:30-20:00，週日：09:30-18:00 (每月第一個週一休，如遇國定假日順延一天),【大眾運輸】　1.基隆客運788、825(僅列假日行駛)、826(僅列假日行駛)、827、856、1062至「九份」站下車→沿豎崎路而上抵輕便路即可抵達　　【自行開車】　1.中山高大華交流道→接台62線快速公路→下瑞芳交流道(台2丁線 出口)→102縣道→北35鄉道(可抵台陽停車場處停車)→沿豎崎路而上抵輕便路即可抵達,224,新北市瑞芳區輕便路137號,886-2-24969926,昇平戲院初建時為木造建築，民國40年改建為空心牆，四周房屋建立於日據時代。為藝術工作者常取景的地方，許多電影如「多桑」﹑「悲情城市」﹑或「藍山咖啡」都曾以此為景，拍出經典鏡頭。後由新北市政府文化局及觀光旅遊局整建此歷史建築，恢復電影院功能，現內部陳述請吳滄富家族捐出舊時的放映機，也委請九份鄉土館賴先生做五六零年代的情境佈置，令人彷彿置身於舊戲院的感覺，而目前昇平戲院營運部份由金瓜石黃金博物館經營管理。,昇平戲院初建時為木造建築，民國40年改建為空心牆，四周房屋建立於日據時代。為藝術工作者常取景的地方，許多電影如「多桑」﹑「悲情城市」﹑或「藍山咖啡」都曾以此為景，拍出經典鏡頭。後由新北市政府文化局及觀光旅遊局整建此歷史建築，恢復電影院功能，現內部陳述請吳滄富家族捐出舊時的放映機，也委請九份鄉土館賴先生做五六零年代的情境佈置，令人彷彿置身於舊戲院的感覺，而目前昇平戲院營運部份由金瓜石黃金博物館經營管理。,昇平戲院,135469853191575 
321,2016/08/11 14:54:19,泰山,,25.04682,121.42678,09:00 ? 17:00；每月第一週的週一休息,【大眾運輸】　1.搭乘637、638、797、798、801、858、880、883、898、1501、1503、F211於明志里站下車後步行可達。　　【自行開車】　1.由國道一號五股交流道下，沿107甲縣道新五路二段前進，於楓江路右轉後遇明志路一段左轉並直行約1.9公里可至。,243,新北市泰山區明志路二段276號,886-2-29603456,臺灣的書院自清朝陸續創建，屬地方性教育場所，位於明志路二段接近新生路口的「北臺首學」明志書院，是由福建汀州永定籍貢生胡焯猷捐建，當時頗具規模，後來因官方將書院遷至新竹，便更名為新莊山腳義墊。現在大廳內供奉有「紫陽朱夫子神位」及「貢生胡焯猷祿位」，兩側牆上則能看到書院沿革和建築修復過程的介紹，明志書院在北臺灣的文教史上占有極重要地位。,臺灣的書院自清朝陸續創建，屬地方性教育場所，位於明志路二段接近新生路口的「北臺首學」明志書院，是由福建汀州永定籍貢生胡焯猷捐建，當時頗具規模，後來因官方將書院遷至新竹，便更名為新莊山腳義墊。現在大廳內供奉有「紫陽朱夫子神位」及「貢生胡焯猷祿位」，兩側牆上則能看到書院沿革和建築修復過程的介紹，明志書院在北臺灣的文教史上占有極重要地位。順著明志書院出發，循著石板舖成的步道，就能到達義學坑自然生態公園，欣賞美麗的自然風光。,明志書院,Ming.Zhi.Shu.Yuan
322,2015/12/09 18:43:48,"汐止,歷史古蹟",,25.06775,121.65621,08:00~22:00,【大眾運輸】　1.搭乘火車至汐止火車站下車，步行即可到達　　【自行開車】　1.國道一號至汐止交流道出口下，朝汐萬路一段前進，轉進中正路即可到達,221,新北市汐止區中正路303號,886-2-26412357,"汐止當時又盛產做香的原料-梢楠木-趁地利之便不久後便把客棧改成香舖也就是現在(明德堂香舖)的由來早期製香 香料取得就不簡單。製香末的機器是一個巨大鐵桶，裡面放著無數的小鐵球，將中藥材放入後,利用鐵球碰撞變成製香的粉末，製香師父每天第一件事就是要看天氣如果太陽肯幫忙曬個半天就夠了，熟練的師父一天可以做上一百斤香。","人們在崇敬神明、袓先時，點香是不可或缺的動作，藉著緩緩升起的輕煙，傳遞人間祈願上達天聽。即使在許多傳統行業式微的現代社會，只要人們仍然敬神念祖，製香、賣香這一行就不會變成夕陽產業。在汐止區一條深幽小巷中，已傳承四代的「明德堂香舖」，仍不間斷的飄出我們記憶中的香氣。 明德堂香舖 開創於民國元年(1912) 當時祖父王才在水返腳(汐止)碼頭旁開設客棧,有一位黃姓商人從唐山到台灣做生意,來台後便在客棧長住,常見到客棧生意不穩定,而黃姓商人原本在唐山是做香的,見王才憨厚老實,於是便教授年紀輕輕的王才製香,爾後王才學會了做香。而汐止當時又盛產做香的原料-梢楠木-趁地利之便不久後便把客棧改成香舖也就是現在(明德堂香舖)的由來早期製香 香料取得就不簡單。製香末的機器是一個巨大鐵桶，裡面放著無數的小鐵球，將中藥材放入後,利用鐵球碰撞變成製香的粉末，製香師父每天第一件事就是要看天氣如果太陽肯幫忙曬個半天就夠了，熟練的師父一天可以做上一百斤香。 除了中正路上的老店，明德堂在汐止的汐萬路及連興路開了兩家分店，由王氏家族傳人繼續傳承製香的老經驗，而汐萬路的明德堂，正面臨無人繼承的危機。早期製香全靠人力，明德堂店內做好的香，會晾在基隆河畔乾燥。香舖可以依照顧客的要求，訂製各種香氣、形狀的香，像是人參香、沉香、拜天公用的「盤香」、長六尺足有拳頭粗的氣派「巨香」。製香一般是用竹枝，師傅先一把抓起幾百支竹枝，將長度的四分之三浸水，再放進竹篩中沾滾一遍香粉，散成扇狀以免沾濕的香粉結塊粘黏，同樣的動作重覆三、四次，再晒乾即可。過程聽起來簡單，能否製出好香最大的關鍵是香料，一種香往往混合好幾種香料，例如磨成細末的沉木、檀木、楠木，再混合麝香、靈貓香、海貍香、龍涎香??而成，混合的內容及比例，可是香舖的最高機密。現在，明德堂仍堅持用較貴的天然香料，燃燒的煙才不會傷身，但製作已委託工廠幫忙，要用香不怕買不到，只是少了河畔聞香的機會。據說，神明要點三炷香，祖先則是兩炷，鬼魂則只用一炷，小小一支香，傳達人們對未知世界的態度。",明德堂香舖,
323,2016/05/22 21:50:54,"鐵道,東北角連線,鐵道福隆站,貢寮",http://www.necoast-nsa.gov.tw/,25.01824,121.94363,全年開放,【大眾運輸】　1.搭乘火車至福隆站下車→步行約3分鐘即可抵達　2.由臺北地區或基隆地區搭乘經北濱公路往羅東方向及蘇澳方向的客運→於「福隆海岸站」下車即可抵達福隆海水浴場　3.搭乘前往東北角各景點的國光客運→搭乘臺北往返羅東的濱海線班車，於沿途各站下車。　4.可搭乘台灣好行-黃金福隆線至福隆　　【自行開車】　1.走瑞八公路於瑞芳隧道前轉102縣道→經九份、雙溪,228,新北市貢寮區,886-2-24991115,"東北角暨宜蘭海岸風景特定區位於臺灣東北隅，北起新北市瑞芳區南雅里，南至宜蘭縣蘇澳鎮內埤海灘南方岬角，海岸線全長102.5公里，海、陸域總面積(含龜山島)共17,421公頃。東北角依山傍海，灣岬羅列，有嶙峋的奇岩聳崖、巨觀的海蝕地形、細柔的金色沙灘，以及繽紛的海洋生態，並且孕育出淳樸的人文史蹟，是一處兼具大自然教室知性功能與濱海遊樂場感性風采的全方位觀光旅遊勝地。","東北角暨宜蘭海岸風景特定區位於臺灣東北隅，北起新北市瑞芳區南雅里，南至宜蘭縣蘇澳鎮內埤海灘南方岬角，海岸線全長102.5公里，海、陸域總面積(含龜山島)共17,421公頃。東北角依山傍海，灣岬羅列，有嶙峋的奇岩聳崖、巨觀的海蝕地形、細柔的金色沙灘，以及繽紛的海洋生態，並且孕育出淳樸的人文史蹟，是一處兼具大自然教室知性功能與濱海遊樂場感性風采的全方位觀光旅遊勝地。",東北角暨宜蘭海岸國家風景區,165020903570203 
324,2016/11/24 20:14:32,"鐵道,山鶯工藝行,鐵道山佳站,樹林,歷史古蹟",,24.95851,121.39932,未提供,【大眾運輸】　1.搭乘火車至山佳火車站下車，步行約28分鐘，即抵達。　2.搭乘藍43公車於東園里站下車，步行即抵達。　　【自行開車】　1沿國道1號和國道3號前往臺北的復興路/110縣道。從國道3號的 50-三鶯 號出口下交流道，走北84鄉道前往樹林區的柑園街一段132巷，即抵達。,238,新北市樹林區柑園街一段132巷,886-2-29603456,堂號為懷德居的鄭家古厝是前監察院副院長鄭水枝的誕生地，已有一百多年歷史，屬土角厝的三合院格局。,堂號為懷德居的鄭家古厝是前監察院副院長鄭水枝的誕生地，已有一百多年歷史，屬土角厝的三合院格局。,東園里─鄭家古厝,
325,2016/08/12 15:38:35,"新店,山嶽",,24.95905,121.54328,全日開放,【大眾運輸】　1.搭乘捷運松山新站線至新店區公所站，轉乘F707公車至獅仔頭山下車，轉乘計程車至獅頭山。　2.搭乘往新店、烏來方向的公車642、644、650、849、綠5、綠13，在「捷運新店站」下車，或搭乘8、647、綠3在「新店站」下車，往中興路一段56號民宅旁登山口步行約五分鐘。　3.可搭乘往新店、烏來方向的公車642、644、650、849、綠5、,231,新北市新店區東獅頭山,886-2-29112281,海拔780公尺，又稱猴洞尖，與獅仔頭山隔新潭路三段左右對望，因位於獅仔頭山之東，故稱東獅頭山。擁有豐富生態林相，前峰視野良好，可眺望大臺北，101大樓與南港山等盡入眼簾；山頂有殖產局圖根三角補點基石，視野較差。東獅頭山與獅仔頭山、加九嶺、粽串尖及小坑山連成一脈，沿路蔭涼，是登山健行、遠眺水庫的最佳選擇。,海拔780公尺，又稱猴洞尖，與獅仔頭山隔新潭路三段左右對望，因位於獅仔頭山之東，故稱東獅頭山。擁有豐富生態林相，前峰視野良好，可眺望大臺北，101大樓與南港山等盡入眼簾；山頂有殖產局圖根三角補點基石，視野較差。東獅頭山與獅仔頭山、加九嶺、粽串尖及小坑山連成一脈，沿路蔭涼，是登山健行、遠眺水庫的最佳選擇。,東獅頭山,211386189003603 
326,2016/07/22 18:30:59,萬里,http://fishery.ntpc.gov.tw/cht/index.php?code=list&flag=detail&ids=61&article_id=142,25.20307,121.69291,全年開放,【大眾運輸】　1.從淡水捷運站或基隆火車站搭乘「台灣好行-皇冠北海岸線」，於「野柳地質公園」站下車。　2.於淡水捷運站前、基隆火車站旁搭乘兩地對開的淡水或基隆客運，於「野柳」站下車　3.國光客運台北總站搭乘台北往金山、金青中心班車，於「野柳」站下車　◎下車後沿港東路直行約15分鐘即可到達　　【自行開車】　1.高速公路國道3號(基金交流道)→2號省道→萬里→野,207,新北市萬里區東澳漁港,886-2-89526055#153(東北角漁港管理所),東澳漁港位於新北市萬里區，野柳半島東側根部之灣內，本港於62年闢建，至68年僅有泊地0.24公頃，距野柳漁港約僅數百公尺，東方尚有突出之山岬與延伸入海之岩礁，為一小型漁港，居民大多以捕漁為生，作業漁場在野柳半島以東之海域。因與北部濱海公路相鄰，交通相當便利，吸引許多遊客假日到此欣賞海濱風光，大啖海鮮美食。,東澳漁港位於新北市萬里區，野柳半島東側根部之灣內，本港於62年闢建，至68年僅有泊地0.24公頃，距野柳漁港約僅數百公尺，東方尚有突出之山岬與延伸入海之岩礁，為一小型漁港，居民大多以捕漁為生，作業漁場在野柳半島以東之海域。因與北部濱海公路相鄰，交通相當便利，吸引許多遊客假日到此欣賞海濱風光，大啖海鮮美食。,東澳漁港,426633630758512 
327,2016/05/22 22:10:26,貢寮,,25.02048,121.95038,06:00-18:00,【大眾運輸】　1.搭乘火車至福隆站→沿著台2線濱海公路往宜蘭方向（出站後右轉），步行約10-15分鐘（也可於火車站租腳踏車）　　【自行開車】　1.從國道1號下八堵交流道→繼續走台2丙線→於貢寮大橋/貢寮街向左轉→右轉接學苑街→右轉向台2線前行即可到達,228,新北市貢寮區福隆村東興街3號,886-2-24991123,距龍門露營區幾百公尺的東興宮，民國前10年即在此屹立，於民國15年整建成如今堂皇莊嚴的外觀。東興宮廣場前的那片海濱，恰好就是近年來衝浪客乘風破浪的首選地點，到附近的海鮮餐廳飽餐一頓後，懶洋洋的不想動？不妨來此消磨悠閒的午後時光，瞧瞧海上姣龍與水中嬌娃的一流身手；每到傍晚時分，夕陽餘暉在這裡延展，能欣賞到絕佳的濱海日落，是樂團開演前值得一訪的休憩場域。,距龍門露營區幾百公尺的東興宮，民國前10年即在此屹立，於民國15年整建成如今堂皇莊嚴的外觀。東興宮廣場前的那片海濱，恰好就是近年來衝浪客乘風破浪的首選地點，到附近的海鮮餐廳飽餐一頓後，懶洋洋的不想動？不妨來此消磨悠閒的午後時光，瞧瞧海上姣龍與水中嬌娃的一流身手；每到傍晚時分，夕陽餘暉在這裡延展，能欣賞到絕佳的濱海日落，是樂團開演前值得一訪的休憩場域。,東興宮,143762875688862 
